Pair,Date,Open,High,Low,Close
GBPUSD,12/3/2013 7:00,1.63674,1.63851,1.63661,1.63846
GBPUSD,12/3/2013 8:00,1.63846,1.63891,1.63777,1.63831
GBPUSD,12/3/2013 9:00,1.63835,1.63906,1.6379,1.63875
GBPUSD,12/3/2013 10:00,1.63874,1.64177,1.6384,1.64073
GBPUSD,12/3/2013 11:00,1.64066,1.64133,1.63952,1.64085
GBPUSD,12/3/2013 12:00,1.64089,1.64365,1.64085,1.64284
GBPUSD,12/3/2013 13:00,1.6428,1.64345,1.64075,1.64103
GBPUSD,12/3/2013 14:00,1.64102,1.64243,1.64036,1.64043
GBPUSD,12/3/2013 15:00,1.64043,1.64058,1.63893,1.64021
GBPUSD,12/3/2013 16:00,1.64028,1.64173,1.6398,1.64133
GBPUSD,12/3/2013 17:00,1.64133,1.64244,1.64072,1.64142
GBPUSD,12/3/2013 18:00,1.6414,1.64197,1.63971,1.64075
GBPUSD,12/3/2013 19:00,1.64073,1.64164,1.63981,1.64061
GBPUSD,12/3/2013 20:00,1.64064,1.6409,1.63925,1.64002
GBPUSD,12/3/2013 21:00,1.64005,1.64007,1.63841,1.63862
GBPUSD,12/3/2013 22:00,1.63862,1.63945,1.63861,1.63891
GBPUSD,12/3/2013 23:00,1.63893,1.63918,1.63811,1.63851
GBPUSD,12/4/2013 0:00,1.6385,1.63923,1.63835,1.63883
GBPUSD,12/4/2013 1:00,1.63881,1.63881,1.63776,1.63857
GBPUSD,12/4/2013 2:00,1.63859,1.63916,1.63803,1.63904
GBPUSD,12/4/2013 3:00,1.63904,1.63964,1.63812,1.63856
GBPUSD,12/4/2013 4:00,1.63869,1.63964,1.6384,1.6387
GBPUSD,12/4/2013 5:00,1.6387,1.63934,1.63867,1.6393
GBPUSD,12/4/2013 6:00,1.63929,1.63966,1.63869,1.6389
GBPUSD,12/4/2013 7:00,1.63887,1.63974,1.63824,1.63915
GBPUSD,12/4/2013 8:00,1.63917,1.63924,1.63715,1.6373
GBPUSD,12/4/2013 9:00,1.6373,1.63791,1.6364,1.63685
GBPUSD,12/4/2013 10:00,1.63685,1.63691,1.63263,1.63607
GBPUSD,12/4/2013 11:00,1.6361,1.63727,1.63558,1.63572
GBPUSD,12/4/2013 12:00,1.63573,1.63701,1.63532,1.63629
GBPUSD,12/4/2013 13:00,1.63629,1.63692,1.63535,1.63667
GBPUSD,12/4/2013 14:00,1.63666,1.63759,1.63357,1.6336
GBPUSD,12/4/2013 15:00,1.63363,1.63754,1.6327,1.63565
GBPUSD,12/4/2013 16:00,1.63558,1.63736,1.63371,1.63441
GBPUSD,12/4/2013 17:00,1.63441,1.63691,1.63372,1.63515
GBPUSD,12/4/2013 18:00,1.63518,1.64034,1.63509,1.63879
GBPUSD,12/4/2013 19:00,1.63881,1.63909,1.6375,1.63794
GBPUSD,12/4/2013 20:00,1.63799,1.63863,1.63763,1.63769
GBPUSD,12/4/2013 21:00,1.63767,1.63896,1.63759,1.63827
GBPUSD,12/4/2013 22:00,1.6383,1.63869,1.63785,1.63823
GBPUSD,12/4/2013 23:00,1.63824,1.63864,1.63727,1.63785
GBPUSD,12/5/2013 0:00,1.63784,1.63826,1.63721,1.63769
GBPUSD,12/5/2013 1:00,1.6377,1.63806,1.63696,1.63714
GBPUSD,12/5/2013 2:00,1.63716,1.63814,1.63707,1.63805
GBPUSD,12/5/2013 3:00,1.63807,1.63821,1.63746,1.63789
GBPUSD,12/5/2013 4:00,1.63789,1.63801,1.63719,1.63786
GBPUSD,12/5/2013 5:00,1.63781,1.63881,1.63744,1.63785
