Date,Pair,Open,High,Low,Close
1/2/2006 0:00,GBPUSD,1.7223,1.7249,1.7189,1.7194
1/3/2006 0:00,GBPUSD,1.7194,1.7467,1.7187,1.7464
1/4/2006 0:00,GBPUSD,1.7464,1.7619,1.7458,1.7557
1/5/2006 0:00,GBPUSD,1.7555,1.7589,1.7485,1.7547
1/6/2006 0:00,GBPUSD,1.7547,1.7723,1.7512,1.7695
1/9/2006 0:00,GBPUSD,1.7681,1.7727,1.7627,1.7654
1/10/2006 0:00,GBPUSD,1.7651,1.7703,1.7615,1.7633
1/11/2006 0:00,GBPUSD,1.7633,1.7672,1.7517,1.7662
1/12/2006 0:00,GBPUSD,1.7661,1.7728,1.7576,1.7608
1/13/2006 0:00,GBPUSD,1.7607,1.7784,1.7593,1.7747
1/16/2006 0:00,GBPUSD,1.7767,1.7799,1.764,1.7669
1/17/2006 0:00,GBPUSD,1.7669,1.7703,1.7586,1.7685
1/18/2006 0:00,GBPUSD,1.7685,1.7707,1.7585,1.7631
1/19/2006 0:00,GBPUSD,1.7631,1.7641,1.7527,1.7572
1/20/2006 0:00,GBPUSD,1.7571,1.7727,1.7541,1.7709
1/23/2006 0:00,GBPUSD,1.7715,1.7884,1.7713,1.7866
1/24/2006 0:00,GBPUSD,1.7864,1.7898,1.7805,1.7833
1/25/2006 0:00,GBPUSD,1.7833,1.7937,1.7816,1.7831
1/26/2006 0:00,GBPUSD,1.7832,1.7892,1.7775,1.7797
1/27/2006 0:00,GBPUSD,1.7797,1.7881,1.7665,1.768
1/30/2006 0:00,GBPUSD,1.7687,1.7718,1.7634,1.7685
1/31/2006 0:00,GBPUSD,1.7684,1.7861,1.7665,1.7788
2/1/2006 0:00,GBPUSD,1.7781,1.7822,1.7725,1.775
2/2/2006 0:00,GBPUSD,1.7748,1.7816,1.7711,1.7801
2/3/2006 0:00,GBPUSD,1.78,1.7811,1.7592,1.7623
2/6/2006 0:00,GBPUSD,1.7624,1.7643,1.7434,1.7478
2/7/2006 0:00,GBPUSD,1.7478,1.7518,1.7403,1.7467
2/8/2006 0:00,GBPUSD,1.7468,1.7476,1.7376,1.7409
2/9/2006 0:00,GBPUSD,1.7406,1.7467,1.7374,1.742
2/10/2006 0:00,GBPUSD,1.7419,1.7577,1.7411,1.7457
2/13/2006 0:00,GBPUSD,1.7434,1.7445,1.7363,1.7414
2/14/2006 0:00,GBPUSD,1.7413,1.7446,1.7278,1.7353
2/15/2006 0:00,GBPUSD,1.7353,1.7491,1.7331,1.7405
2/16/2006 0:00,GBPUSD,1.7406,1.7416,1.7306,1.7387
2/17/2006 0:00,GBPUSD,1.7388,1.7429,1.7329,1.7405
2/20/2006 0:00,GBPUSD,1.7415,1.7464,1.7405,1.7443
2/21/2006 0:00,GBPUSD,1.7442,1.7478,1.7411,1.7445
2/22/2006 0:00,GBPUSD,1.7444,1.7468,1.7374,1.7434
2/23/2006 0:00,GBPUSD,1.7435,1.7557,1.7414,1.7516
2/24/2006 0:00,GBPUSD,1.7518,1.7539,1.7427,1.7449
2/27/2006 0:00,GBPUSD,1.7434,1.7454,1.7376,1.7396
2/28/2006 0:00,GBPUSD,1.7397,1.7571,1.7373,1.7537
3/1/2006 0:00,GBPUSD,1.7538,1.7596,1.7461,1.75
3/2/2006 0:00,GBPUSD,1.75,1.7551,1.7433,1.7529
3/3/2006 0:00,GBPUSD,1.753,1.7587,1.75,1.7545
3/6/2006 0:00,GBPUSD,1.7563,1.7626,1.7466,1.7486
3/7/2006 0:00,GBPUSD,1.7488,1.7502,1.733,1.7354
3/8/2006 0:00,GBPUSD,1.7355,1.7422,1.7343,1.7382
3/9/2006 0:00,GBPUSD,1.7382,1.7414,1.7346,1.736
3/10/2006 0:00,GBPUSD,1.7359,1.7403,1.7231,1.726
3/13/2006 0:00,GBPUSD,1.7261,1.7341,1.7231,1.7335
3/14/2006 0:00,GBPUSD,1.7335,1.7487,1.733,1.7457
3/15/2006 0:00,GBPUSD,1.7459,1.7496,1.7416,1.7478
3/16/2006 0:00,GBPUSD,1.7478,1.7597,1.7437,1.7568
3/17/2006 0:00,GBPUSD,1.7567,1.7581,1.7511,1.7555
3/20/2006 0:00,GBPUSD,1.7553,1.759,1.7528,1.7554
3/21/2006 0:00,GBPUSD,1.7556,1.7563,1.745,1.7485
3/22/2006 0:00,GBPUSD,1.7489,1.751,1.7452,1.7464
3/23/2006 0:00,GBPUSD,1.7464,1.7471,1.7327,1.7341
3/24/2006 0:00,GBPUSD,1.7342,1.7446,1.7309,1.742
3/27/2006 0:00,GBPUSD,1.7429,1.7496,1.7414,1.7464
3/28/2006 0:00,GBPUSD,1.7464,1.7539,1.7425,1.7428
3/29/2006 0:00,GBPUSD,1.7428,1.7445,1.7315,1.7336
3/30/2006 0:00,GBPUSD,1.7338,1.7486,1.7335,1.7461
3/31/2006 0:00,GBPUSD,1.7464,1.748,1.7336,1.7372
4/3/2006 0:00,GBPUSD,1.7365,1.7407,1.725,1.7399
4/4/2006 0:00,GBPUSD,1.7396,1.7579,1.7369,1.755
4/5/2006 0:00,GBPUSD,1.7551,1.7619,1.748,1.7539
4/6/2006 0:00,GBPUSD,1.7541,1.7599,1.7489,1.7515
4/7/2006 0:00,GBPUSD,1.7516,1.7537,1.7394,1.7421
4/10/2006 0:00,GBPUSD,1.7428,1.7475,1.7376,1.7438
4/11/2006 0:00,GBPUSD,1.7437,1.7496,1.7393,1.7486
4/12/2006 0:00,GBPUSD,1.7487,1.7575,1.746,1.7505
4/13/2006 0:00,GBPUSD,1.7504,1.7564,1.7484,1.7527
4/14/2006 0:00,GBPUSD,1.7525,1.7536,1.7503,1.7512
4/17/2006 0:00,GBPUSD,1.7532,1.775,1.7531,1.7705
4/18/2006 0:00,GBPUSD,1.7704,1.7846,1.7679,1.7839
4/19/2006 0:00,GBPUSD,1.7836,1.7938,1.7795,1.7925
4/20/2006 0:00,GBPUSD,1.7926,1.7926,1.7755,1.7781
4/21/2006 0:00,GBPUSD,1.7781,1.785,1.7749,1.7824
4/24/2006 0:00,GBPUSD,1.7868,1.7934,1.7792,1.7861
4/25/2006 0:00,GBPUSD,1.7862,1.7945,1.7826,1.7875
4/26/2006 0:00,GBPUSD,1.7876,1.7912,1.78,1.7844
4/27/2006 0:00,GBPUSD,1.7845,1.8048,1.7819,1.8011
4/28/2006 0:00,GBPUSD,1.8012,1.8268,1.8,1.8257
5/1/2006 0:00,GBPUSD,1.8236,1.8416,1.8205,1.8242
5/2/2006 0:00,GBPUSD,1.8242,1.8428,1.8206,1.8397
5/3/2006 0:00,GBPUSD,1.8396,1.8479,1.8354,1.8425
5/4/2006 0:00,GBPUSD,1.8426,1.8552,1.8336,1.8527
5/5/2006 0:00,GBPUSD,1.8527,1.8625,1.8475,1.8595
5/8/2006 0:00,GBPUSD,1.8628,1.8693,1.8549,1.8578
5/9/2006 0:00,GBPUSD,1.8578,1.8692,1.8513,1.867
5/10/2006 0:00,GBPUSD,1.8673,1.8736,1.8602,1.8644
5/11/2006 0:00,GBPUSD,1.8644,1.886,1.8531,1.8827
5/12/2006 0:00,GBPUSD,1.8822,1.9001,1.8821,1.8947
5/15/2006 0:00,GBPUSD,1.8966,1.8999,1.8764,1.8792
5/16/2006 0:00,GBPUSD,1.8792,1.8898,1.8745,1.8883
5/17/2006 0:00,GBPUSD,1.8883,1.9027,1.8775,1.8797
5/18/2006 0:00,GBPUSD,1.88,1.8965,1.8791,1.8951
5/19/2006 0:00,GBPUSD,1.8952,1.8957,1.87,1.8778
5/22/2006 0:00,GBPUSD,1.8771,1.8889,1.8632,1.8852
5/23/2006 0:00,GBPUSD,1.8852,1.8887,1.8765,1.8775
5/24/2006 0:00,GBPUSD,1.8763,1.8864,1.8652,1.8686
5/25/2006 0:00,GBPUSD,1.8688,1.8775,1.8665,1.8773
5/26/2006 0:00,GBPUSD,1.8773,1.8776,1.8531,1.8594
5/29/2006 0:00,GBPUSD,1.858,1.8645,1.8561,1.8589
5/30/2006 0:00,GBPUSD,1.8589,1.887,1.858,1.8836
5/31/2006 0:00,GBPUSD,1.8835,1.886,1.8685,1.872
6/1/2006 0:00,GBPUSD,1.8721,1.8728,1.8563,1.8666
6/2/2006 0:00,GBPUSD,1.8664,1.8863,1.8608,1.8819
6/5/2006 0:00,GBPUSD,1.8833,1.8882,1.8716,1.8723
6/6/2006 0:00,GBPUSD,1.8722,1.8775,1.8589,1.8606
6/7/2006 0:00,GBPUSD,1.8607,1.865,1.8529,1.8574
6/8/2006 0:00,GBPUSD,1.8573,1.858,1.837,1.8437
6/9/2006 0:00,GBPUSD,1.8437,1.8487,1.8364,1.8406
6/12/2006 0:00,GBPUSD,1.8395,1.8472,1.8378,1.8422
6/13/2006 0:00,GBPUSD,1.8421,1.846,1.8316,1.8342
6/14/2006 0:00,GBPUSD,1.8343,1.8502,1.8333,1.8433
6/15/2006 0:00,GBPUSD,1.8434,1.8549,1.8419,1.8488
6/16/2006 0:00,GBPUSD,1.8489,1.8563,1.8469,1.8505
6/19/2006 0:00,GBPUSD,1.8517,1.8533,1.8369,1.8405
6/20/2006 0:00,GBPUSD,1.8405,1.8463,1.8368,1.8425
6/21/2006 0:00,GBPUSD,1.8423,1.8475,1.8409,1.8455
6/22/2006 0:00,GBPUSD,1.8456,1.8474,1.8262,1.8282
6/23/2006 0:00,GBPUSD,1.8282,1.8315,1.8126,1.8187
